Structures,Optimized with dmol3,crystal,PE (%TNT),PUBCHEM_COMPOUND_CID,pubchem cid,Marked structure (Mark Structures),Fragments found (Mark Structures),N : ESP charge (VAMP Electrostatics),O1 : ESP charge (VAMP Electrostatics),O2 : ESP charge (VAMP Electrostatics),N : Coulson charge (VAMP Electrostatics),O1 : Coulson charge (VAMP Electrostatics),O2 : Coulson charge (VAMP Electrostatics),N : Mulliken charge (VAMP Electrostatics),O1 : Mulliken charge (VAMP Electrostatics),O2 : Mulliken charge (VAMP Electrostatics),Structure (VAMP Electrostatics),Total energy (VAMP Electrostatics),Electronic energy (VAMP Electrostatics),Heat of formation (VAMP Electrostatics),HOMO eigenvalue (VAMP Electrostatics),LUMO eigenvalue (VAMP Electrostatics),Molecular surface area (VAMP Electrostatics),Total dipole (VAMP Electrostatics),Dipole x (VAMP Electrostatics),Dipole y (VAMP Electrostatics),Dipole z (VAMP Electrostatics),Quadrupole xx (VAMP Electrostatics),Quadrupole xy (VAMP Electrostatics),Quadrupole yy (VAMP Electrostatics),Quadrupole xz (VAMP Electrostatics),Quadrupole yz (VAMP Electrostatics),Quadrupole zz (VAMP Electrostatics),Octupole xxx (VAMP Electrostatics),Octupole xxy (VAMP Electrostatics),Octupole xxz (VAMP Electrostatics),Octupole xyy (VAMP Electrostatics),Octupole xyz (VAMP Electrostatics),Octupole xzz (VAMP Electrostatics),Octupole yyy (VAMP Electrostatics),Octupole yyz (VAMP Electrostatics),Octupole yzz (VAMP Electrostatics),Octupole zzz (VAMP Electrostatics),Total ZDO dipole (VAMP Electrostatics),ZDO Dipole x (VAMP Electrostatics),ZDO Dipole y (VAMP Electrostatics),ZDO Dipole z (VAMP Electrostatics),Mean polarizability (VAMP Electrostatics),Total molecular mass (Atomistic Descriptors),Atom count (Atomistic Descriptors),Element count (Atomistic Descriptors),Rotatable bonds (Fast Descriptors),Hydrogen bond donor (Fast Descriptors),Hydrogen bond acceptor (Fast Descriptors),Chiral centers (Fast Descriptors),AlogP (Fast Descriptors),AlogP98 (Fast Descriptors),Molecular refractivity (Fast Descriptors),Molecular flexibility (Fast Descriptors),Balaban index JX (Fast Descriptors),Balaban index JY (Fast Descriptors),Wiener index (Fast Descriptors),Zagreb index (Fast Descriptors),Kappa-1 (Fast Descriptors),Kappa-2 (Fast Descriptors),Kappa-3 (Fast Descriptors),Kappa-1 (alpha modified) (Fast Descriptors),Kappa-2 (alpha modified) (Fast Descriptors),Kappa-3 (alpha modified) (Fast Descriptors),Subgraph counts (0): path (Fast Descriptors),Subgraph counts (1): path (Fast Descriptors),Subgraph counts (2): path (Fast Descriptors),Subgraph counts (3): path (Fast Descriptors),Subgraph counts (3): cluster (Fast Descriptors),Subgraph counts (3): chain (Fast Descriptors),Chi (0) (Fast Descriptors),Chi (1) (Fast Descriptors),Chi (2) (Fast Descriptors),Chi (3): path (Fast Descriptors),Chi (3): cluster (Fast Descriptors),Chi (3): chain (Fast Descriptors),Chi (0) (valence modified) (Fast Descriptors),Chi (1) (valence modified) (Fast Descriptors),Chi (2) (valence modified) (Fast Descriptors),Chi (3): path (valence modified) (Fast Descriptors),Chi (3): cluster (valence modified) (Fast Descriptors),Information content (IC) (Fast Descriptors),Bond information content (BIC) (Fast Descriptors),Complementary information content (CIC) (Fast Descriptors),Structural information content (SIC) (Fast Descriptors),Edge adjacency/magnitude (Fast Descriptors),Edge distance/magnitude (Fast Descriptors),Vertex adjacency/equality (Fast Descriptors),Vertex adjacency/magnitude (Fast Descriptors),Vertex distance/equality (Fast Descriptors),Vertex distance/magnitude (Fast Descriptors),Atomic composition (total) (Fast Descriptors),Molecular area (vdW area) (Spatial Descriptors),Molecular volume (vdW volume) (Spatial Descriptors),Molecular density (Spatial Descriptors),Principal moments of inertia (magnitude) (Spatial Descriptors),Principal moment of inertia X (Spatial Descriptors),Principal moment of inertia Y (Spatial Descriptors),Principal moment of inertia Z (Spatial Descriptors),Radius of gyration (Spatial Descriptors),Ellipsoidal volume (Spatial Descriptors),Shadow area: XY plane (Spatial Descriptors),Shadow area: YZ plane (Spatial Descriptors),Shadow area: ZX plane (Spatial Descriptors),Shadow area fraction: XY plane (Spatial Descriptors),Shadow area fraction: YZ plane (Spatial Descriptors),Shadow area fraction: ZX plane (Spatial Descriptors),Shadow length: LX (Spatial Descriptors),Shadow length: LY (Spatial Descriptors),Shadow length: LZ (Spatial Descriptors),Shadow ratio (Spatial Descriptors),Dipole moment (magnitude) (Spatial Descriptors),Dipole moment X (Spatial Descriptors),Dipole moment Y (Spatial Descriptors),Dipole moment Z (Spatial Descriptors),Connolly surface area (Atom Volumes and Surfaces),Connolly surface occupied volume (Atom Volumes and Surfaces),Solvent surface area (Atom Volumes and Surfaces),Solvent surface occupied volume (Atom Volumes and Surfaces),Structure (Forcite Energetics),Total energy (Forcite Energetics),Non bond energy (Forcite Energetics),Hydrogen bond energy (Forcite Energetics),van der Waals energy (Forcite Energetics),Electrostatic energy (Forcite Energetics),Valence energy (diag. terms) (Forcite Energetics),Bond energy (Forcite Energetics),Angle energy (Forcite Energetics),Torsion energy (Forcite Energetics),Inversion energy (Forcite Energetics),Valence energy (cross terms) (Forcite Energetics),Stretch-Stretch energy (Forcite Energetics),Stretch-Bend-Stretch energy (Forcite Energetics),Stretch-Torsion-Stretch energy (Forcite Energetics),Separated-Stretch-Stretch energy (Forcite Energetics),Torsion-Stretch energy (Forcite Energetics),Bend-Bend energy (Forcite Energetics),Torsion-Bend-Bend energy (Forcite Energetics),Bend-Torsion-Bend energy (Forcite Energetics),Atom count (O atom count),Element count (O atom count),Element count (N atom count),Element count (C atom count (2)),Element count (H atom count),Oxygen Balance
BTTN,BTTN,,140,"1,2,4-Butanetriol trinitrate",522216,BTTN,3,0.1303,-0.0618,-0.1073,0.595919209,-0.2498406646,-0.3264239542,0.5781,-0.2414,-0.3198,BTTN,-4100.099055,-19902.411568,-35.499552,-12.537872,-1.56459,231.59166,0.367,-0.255,0.243,0.104,-22.026,-0.415,0.301,-0.232,0.235,21.725,-107.366,-75.897,-11.276,75.181,-25.874,32.185,45.936,1.305,29.961,9.971,0.33,-0.322,0.074,0.005,17.334076,241.111995100975,23,4,6,0,9,1,1.5362,0.1399,45.463505,7.098386,3.458785,4.097191,521,66,16,9.074074,11.324445,14.559999,7.800425,9.917854,16,15,18,15,4,0,12.55204,7.413591,6.791522,3.35085,1.428869,0,7.714546,3.772717,2.315903,1.237497,0.209138,2.858459,0.685494,1.141541,0.714615,186.117294,1686.416504,133.432831,147.206711,826.051086,1969.277222,43.106228,230.585484715751,174.681890590152,1.38029187963556,3653.11489749899,821.714479443342,2146.52751674273,2839.44596505525,3.08353506575492,321.042584712934,60.8305612612962,33.8172980093221,45.1885068417247,0.515470704410797,0.678963893249607,0.709057071960298,12.2881415153599,9.60354622523746,5.18633533946258,2.3693303095656,0,0,0,0,212.0742030126,182.740153235964,417.444761952998,625.766601035834,BTTN,71.1927823918834,-10.3310867577396,0,30.9306211025481,-41.2617078602877,81.523869149623,37.4907202467256,41.5117945627231,2.52135341827674,9.218976109171E-07,0,0,0,0,0,0,0,0,0,23,9,3,4,7,-16.5898009276761
Trinitromethane,Trinitromethane,,125,Trinitromethane,10602,Trinitromethane,3,-0.0923,-0.0492,-0.0673,0.464719133,-0.2380369592,-0.2786449435,0.4179,-0.2276,-0.2685,Trinitromethane,-2673.736263,-10269.172884,49.879998,-13.233115,-2.786144,136.973124,2.433,-0.002,-0.002,-2.433,-0.718,0,-0.704,0,-0.001,1.422,15.938,40.173,9.588,-15.941,-0.003,0.003,-40.168,9.599,-0.005,-19.187,2.295,-0.001,-0.001,-2.295,9.741409,151.033997178078,11,1,0,0,6,0,1.685301,1.285401,24.047401,2.607903,3.826498,4.620214,117,42,10,4,3.111111,8.680001,3.004496,2.222075,10,9,12,12,4,0,8.309401,4.464101,4.309401,2.309401,1.111111,0,4.368481,1.870042,1.202472,0.565685,0.180739,1.895462,0.528726,1.426466,0.570591,110.039101,489.572937,68.007706,75.058647,225.990387,635.704285,17.789085,138.09082095003,98.9305708353774,1.52666658953582,675.813075774717,345.975264173827,346.123586753559,466.071767714786,1.88998464504884,59.1819368955411,26.0419366902421,27.1582512248323,28.4081489551563,0.554621848739496,0.73109243697479,0.736734693877551,6.98134828375681,6.72569238686314,5.52322213356256,1.26399918651357,0,0,0,0,126.295454200092,103.662690083491,273.382791736508,382.240857567174,Trinitromethane,17.9185142999834,-12.771408529081,0,4.83386335631939,-17.6052718854004,30.6899228290644,24.1800964831676,6.5059963727128,3.2774396584542E-03,5.52533525609578E-04,0,0,0,0,0,0,0,0,0,11,6,3,1,1,37.0777447768748
DNAN,DNAN,,78,,8385,DNAN,2,0.012,-0.1044,-0.0973,0.5322326214,-0.3278231897,-0.3441139611,0.4785,-0.3187,-0.3352,DNAN,-2986.60076,-14417.773289,21.794748,-11.351385,-2.317818,196.096047,5.99,-1.881,5.525,1.347,-24.391,-8.035,7.98,-10.166,3.354,16.412,-87.124,41.378,26.174,46.993,-15.943,40.13,-0.348,-6.167,-41.03,-20.008,5.691,-1.801,5.251,1.254,17.298167,198.133995771408,20,7,1,0,5,0,1.7011,1.6024,47.170612,2.970192,3.055208,3.345282,296,66,12.071428,5.185596,2.994329,10.381301,4.005537,2.174695,14,14,19,23,5,0,10.715178,6.557748,5.893348,4.412153,1.136083,0,7.167719,3.527917,2.370372,1.56995,0.272546,3.235926,0.761766,0.571429,0.849915,199.421249,1438.428345,115.967865,134.605942,547.960022,1436.702148,37.667664,194.024761633137,154.373731024817,1.28346963214588,1837.27576379474,394.767871387487,1078.1067896778,1434.37314182829,2.81475540789987,237.450133615083,57.7927527000457,27.1920950340672,33.2065528236058,0.649029982363316,0.679047619047619,0.642222222222222,10.7226547696646,8.30436247528982,4.82209920951106,2.22364872720066,0,0,0,0,180.252627110223,160.265974391882,355.10532200263,535.077218597807,DNAN,56.9611053458862,34.6853178645931,0,24.016043816962,10.6692740476311,22.2757874812931,8.65057077273862,2.93386956175613,10.6913422953626,4.85143575312819E-06,0,0,0,0,0,0,0,0,0,20,5,2,7,6,-96.9041174647863
DinitroBenzene,DinitroBenzene,,90,,7452,DinitroBenzene,2,0.0022,-0.0911,-0.1011,0.5292785849,-0.3348756804,-0.3419352642,0.4748,-0.326,-0.3331,DinitroBenzene,-2511.040739,-10864.866393,52.693394,-11.603661,-2.318553,166.698712,5.654,-0.001,5.654,0.005,-30.941,-0.004,14.801,0.007,0.003,16.14,0.005,34.604,0.077,-0.008,0.027,0.002,3.689,-0.022,-38.293,-0.054,5.284,0,5.284,0.002,14.705947,168.107996463776,16,6,0,0,4,0,1.9538,1.6188,40.707409,2.221123,2.932422,3.182874,197,56,10.083333,4.296875,2.777778,8.436711,3.159226,1.912159,12,12,16,18,4,0,9.137827,5.60906,5.174798,3.640947,1,0,5.836821,2.998878,2.034072,1.251374,0.223607,2.751629,0.673188,0.833333,0.767548,160,990.336487,93.603226,110.039101,386.096344,988.486694,30.490225,164.233499442566,129.733165488806,1.29579815485409,1390.17368182673,259.04502383364,827.537191002973,1086.5821362316,2.50852473698955,245.989341758968,50.9035094617631,20.2758766230359,26.9967232009248,0.643137254901961,0.758333333333333,0.788671023965142,10.0662999306984,7.86274500192582,3.40051975692152,2.96022392171348,0,0,0,0,155.469451476537,133.084732946247,318.013276947958,460.49509110284,DinitroBenzene,19.9114095513072,11.0548937076799,0,19.7973610740615,-8.7424673663816,8.85651584362729,7.8996229613561,0.956869407019186,2.15669230257244E-05,1.90832897639659E-06,0,0,0,0,0,0,0,0,0,16,4,2,6,4,-95.1769120837014
diethylaminedinitrate,diethylaminedinitrate,,120,,12200823,diethylaminedinitrate,2,0.1431,-0.1512,-0.087,1.0123103867,-0.5244256061,-0.4372030144,1.0288,-0.5317,-0.4407,diethylaminedinitrate,-2962.363141,-15247.000714,3965.76999,-6.764518,1.097164,169.66388,5.806,5.656,1.313,0,2.596,-11.858,-15.067,0,0,12.471,180.376,-42.833,0,-99.454,0,-80.921,42.774,0,0.059,0,6.108,5.944,1.403,0,11.634363,186.123996973038,22,2,1,4,2,0,-1.4034,-1.4766,17.868599,2.861601,1.892826,1.998311,10,10,4,3,4,3.92,2.92,4.006956,4,3,2,1,0,0,3.414213,1.914213,1,0.5,0,0,2.568914,1.316496,0.57735,0.166667,0,1,0.63093,1,0.5,8,22.5,15.270944,15.509775,30.490225,55.143028,15.01955,167.483743031208,114.692900221177,1.62280312568703,2041.93907231834,404.74237476732,1198.30554015947,1603.04791492679,2.72646946010051,150.754264616587,48.375480574456,20.7152632683144,26.663107516751,0.575462962962963,0.769444444444444,0.738683127572016,10.6163115596193,7.91834207625408,3.40000009536743,3.12244448877641,0,0,0,0,157.544236458509,119.965419471608,331.228620838759,462.134968802227,diethylaminedinitrate,8663.83692683874,6721.95846907217,0,6860.50326158159,-138.544792509426,1941.87845776658,1671.47235686719,268.487824273688,1.91827662570337,0,0,0,0,0,0,0,0,0,0,22,6,4,2,10,-25.7892591931353
2-4dinitrotoluene,2-4dinitrotoluene,,71,,8461,2-4dinitrotoluene,2,-0.0053,-0.108,-0.0911,0.5334035846,-0.3477021991,-0.3395243311,0.4791,-0.3393,-0.3306,2-4dinitrotoluene,-2666.794694,-12502.684569,47.710554,-11.265755,-2.206086,183.760273,6.105,1.529,5.911,-0.003,-27.407,6.449,11.3,-0.002,0.001,16.107,39.426,50.087,0.005,-20.183,0.022,-19.243,-6.631,-0.004,-43.457,-0.001,5.749,1.468,5.558,0.001,16.561343,182.134996175766,19,7,0,0,4,0,2.421,2.105,45.748608,2.450163,3.085284,3.325663,240,62,11.076923,4.481482,2.721088,9.428185,3.378393,1.922825,13,13,18,21,5,0,10.008071,6.019743,5.702304,4.097729,1.205118,0,6.75947,3.415545,2.485009,1.600234,0.357958,2.873141,0.689015,0.827299,0.776432,186.117294,1203.249146,104.675591,122.211433,455.512726,1201.674805,35.549362,180.168772266327,144.892200137477,1.25703796341661,1586.97951688764,328.716205177575,923.018706234762,1248.39341211627,2.68981183091408,215.90240723853,54.8487713080095,22.5134949062773,29.0039501833592,0.672682926829268,0.65410199556541,0.687272727272727,9.99870020556452,8.1547931811086,4.22070008595425,2.36896723338349,0,0,0,0,169.738737136028,149.439700847141,337.984912828318,505.91189150814,2-4dinitrotoluene,29.3759028766094,19.1433606946198,0,30.6871516477125,-11.5437909530926,10.2325421819896,8.25493639765868,1.95246657751286,2.51374645806825E-02,1.7422373799203E-06,0,0,0,0,0,0,0,0,0,19,4,2,7,6,-114.201007147069
"1,1-Dinitroethane","1,1-Dinitroethane",,135,,61150,"1,1-Dinitroethane",2,-0.0144,-0.086,-0.0803,0.469093313,-0.3041149999,-0.3042171995,0.4212,-0.2953,-0.2953,"1,1-Dinitroethane",-1999.857888,-7303.369645,12.975067,-12.462705,-1.736424,130.347071,4.95,0.003,-3.319,3.673,-10.046,-0.686,5.764,-1.365,-6.378,4.282,-3.511,-12.776,6.729,9.153,0.753,-5.642,2.39,-5.019,10.386,-1.71,4.671,0.001,-3.152,3.447,8.846923,120.063997745514,12,2,0,0,4,0,0.6779,0.5615,22.876301,2.165555,3.381151,3.97148,65,32,8,3.111111,2.8125,7.12,2.433208,2.130478,8,7,9,8,3,0,6.73205,3.553418,3.34715,2.103133,0.859117,0,4.104771,1.824045,1.202576,0.610199,0.201536,2.25,0.709796,0.75,0.75,75.058647,257.885986,48.504223,53.302967,143.638382,362.746887,23.01955,130.725820584819,92.0692915047285,1.30406127584188,466.092557001016,166.683928428585,283.736244691028,330.079510336514,1.87143793136578,98.5861173857332,29.2441302602491,23.8386468010036,26.0464564803635,0.65974025974026,0.649947753396029,0.668965517241379,6.85967820533214,6.46192598952106,5.67598413076137,1.20854428893761,0,0,0,0,118.827363617521,96.6681372515923,261.548089166291,363.34907403342,"1,1-Dinitroethane",26.4315846269095,2.57745694420293,0,4.92418180036723,-2.34672485616431,23.8541276827066,16.8342942623815,6.01485790141968,1.00491681366604,5.87052394303011E-05,0,0,0,0,0,0,0,0,0,12,4,2,2,4,-26.6524525260493
"2,2-Dinitropropane","2,2-Dinitropropane",,123,,136385,"2,2-Dinitropropane",2,-0.023,-0.076,-0.0936,0.470188734,-0.3104188867,-0.3104969461,0.4261,-0.302,-0.302,"2,2-Dinitropropane",-2155.540233,-8806.989919,9.643566,-12.281557,-1.572251,150.354979,5.613,0.025,-5.605,-0.295,-12.294,0.125,8.273,-2.038,0.303,4.021,-0.499,-10.338,-0.791,-1.363,10.545,1.862,20.207,2.476,-9.869,-1.686,5.144,0.023,-5.137,-0.271,10.638762,134.090997457504,15,3,0,0,4,0,1.4053,0.5006,27.879803,1.945749,3.941993,4.523494,84,40,9,2.722222,2,8.12,2.156618,1.509421,9,8,12,12,6,0,7.6547,3.886751,4.130768,2.976068,1.488034,0,5.02742,2.17751,2.008647,0.893596,0.721749,1.836592,0.552869,1.333333,0.57938,110.039101,364.078186,58.073944,64,176.920319,489.756866,28.338696,148.378981690579,108.684136873844,1.233767882917,543.585229996269,228.720800275423,345.671841238611,351.685478753638,2.00518755637832,87.7340732529043,29.4227013784216,28.9518356235276,30.6430014403559,0.660854402789887,0.702087286527514,0.627980922098569,7.25835668333446,6.13392483965026,6.72274355986095,1.18331359986933,0,0,0,0,132.884157988809,116.700652282341,280.11862815715,405.548321230603,"2,2-Dinitropropane",31.139306928157,5.65152304785434,0,8.25345358366879,-2.60193053581445,25.4877838803027,19.6115269267324,5.84306303848955,3.17446542398527E-02,1.44926084085251E-03,0,0,0,0,0,0,0,0,0,15,4,2,3,6,-59.6609776322631
"1,4-Dinitropiperazine","1,4-Dinitropiperazine",,107,,20124,"1,4-Dinitropiperazine",2,0.0823,-0.1071,-0.1046,0.5947041778,-0.3552307454,-0.3504222908,0.5711,-0.3462,-0.3413,"1,4-Dinitropiperazine",-2722.812717,-12992.416518,76.085195,-11.343808,-0.814802,175.444127,0.077,0.001,0.077,0.001,-34.28,0.001,16.95,3.365,0.002,17.33,0.016,-0.703,0.026,-0.009,8.104,-0.006,0.617,0.001,0.085,-0.027,0.055,0.001,0.055,0.001,14.60856,176.131997108459,20,4,0,0,4,0,0.0168,-0.598199,39.665615,2.505187,2.162489,2.464823,206,56,10.083333,4.296875,2.777778,8.813284,3.411015,2.099799,12,12,16,18,4,0,9.137827,5.60906,5.162893,3.702115,1,0,6.250274,3.395208,2.382996,1.694335,0.266667,2.251629,0.591389,1.333333,0.628076,160,985.192017,93.603226,110.039101,404.54599,983.815369,38.43856,174.302683712052,137.22686082363,1.28350962815386,1548.64814244897,185.707398880796,1002.71851356589,1165.49535119785,2.4040205112075,95.4771472014901,48.9849464075484,23.6008150429119,29.8229662154364,0.767106842737095,0.717647058823529,0.624489795918367,9.62959649051799,6.63130023529593,4.95926597353116,1.94173826165274,0,0,0,0,161.280258732085,143.632754249925,324.345681545234,484.894745830039,"1,4-Dinitropiperazine",76.7583578811344,23.4970956860122,0,31.4637567303911,-7.96666104437893,53.2612621951222,20.5469205819355,25.3545585346367,3.99822531622622,3.36155776232376,0,0,0,0,0,0,0,0,0,20,4,4,4,8,-72.6727693442208
"2,4-Dinitrophenol","2,4-Dinitrophenol",,52,"2,4-Dinitrophenol",1493,"2,4-Dinitrophenol",2,-0.0524,-0.0691,-0.0898,0.535260846,-0.3186957502,-0.3504479408,0.4825,-0.3093,-0.3414,"2,4-Dinitrophenol",-2831.538168,-12711.071289,10.834417,-11.057313,-2.163277,173.876038,6.656,-0.352,-6.646,-0.025,-34.891,6.594,19.177,-0.105,0.009,15.713,-10.231,-35.21,-0.202,-8.642,0.066,18.873,-17.384,0.061,52.594,0.141,6.544,-0.498,-6.525,-0.003,15.572353,184.106996059418,17,6,1,1,5,0,1.6694,1.3768,42.401508,2.421479,3.057909,3.33459,240,62,11.076923,4.481482,2.721088,9.388496,3.352957,1.904929,13,13,18,21,5,0,10.008071,6.019743,5.702304,4.097729,1.205118,0,6.206685,3.139151,2.187237,1.366512,0.278171,2.873141,0.689015,0.827299,0.776432,186.117294,1203.249146,104.675591,122.211433,455.512726,1201.674805,32.367455,171.882668915303,137.132613097909,1.34254712938322,1585.26007239102,330.37929717114,918.628725871705,1249.00771859953,2.58884989775204,188.464182207602,53.5803553485915,21.2015713845638,26.892638928609,0.657073170731707,0.764227642276423,0.791111111111111,9.99588478343193,8.15775415743709,3.40074990860589,2.93931781285548,0,0,0,0,162.477555722271,140.666263239559,327.526861725118,481.108424601028,"2,4-Dinitrophenol",36.1391917347477,25.8836373559055,0,26.184008915031,-0.300371559125536,10.2555543788423,9.19968906955212,1.0557506445955,1.03306631408622E-04,1.13580632297161E-05,0,0,0,0,0,0,0,0,0,17,5,2,6,4,-78.2153872922493
EDNA,EDNA,,139,Ethylenedinitramine,10462,EDNA,2,-0.0174,-0.072,-0.085,0.5848144812,-0.3467161971,-0.3473785906,0.5586,-0.3374,-0.3379,EDNA,-2440.049809,-9673.685545,52.995394,-11.916551,-0.937145,160.287852,2.766,0.024,0.003,2.766,-36.199,-3.317,14.563,0.139,0.003,21.636,-0.154,0.16,0.146,0.064,17.455,0.09,0.071,8.519,-0.232,-8.664,2.541,0.021,0.003,2.541,11.299715,150.093997716904,16,2,3,2,4,0,-0.2984,-0.8286,31.8412,3.997968,2.701705,3.16702,151,38,10,5.76,9.142858,8.720002,4.584825,7.894825,10,9,10,7,2,0,7.983127,4.625897,4.07215,1.812949,0.816497,0,4.941633,2.384617,1.330447,0.606806,0.074536,2.321928,0.671188,1,0.69897,86.43856,480.003387,68.007706,75.058647,292.127319,625.179932,30.490225,160.368401358221,115.316303794858,1.30158522930039,1734.93601112663,95.6046757018535,1194.69532464552,1254.41850670264,2.51415407489343,52.9332252604955,41.3100493777475,16.7750673361756,34.8912233168974,0.715824915824916,0.749158249158249,0.760330578512397,10.8751678393253,5.3065582392841,4.21966303309158,2.5772597844993,0,0,0,0,148.79270804439,119.563854975331,314.219307624135,444.275960652079,EDNA,47.6991970367262,5.31590117023947,0,12.2711632684968,-6.95526209825729,42.3832958664867,17.4530652647039,17.8030757995531,3.64549885991865,3.48165594231108,0,0,0,0,0,0,0,0,0,16,4,4,2,6,-31.9799597120026
Diethyleneglycol dinitrate,Diethyleneglycol dinitrate,,127,Diethyleneglycol dinitrate,61198,Diethyleneglycol dinitrate,2,-0.0052,-0.0302,-0.0599,0.6024287773,-0.2662651539,-0.3303595267,0.5855,-0.2581,-0.324,Diethyleneglycol dinitrate,-3270.552073,-14008.682757,-69.389783,-11.574378,-1.015467,208.170629,1.664,-0.005,-1.664,0,-40.494,0.016,12.523,-0.123,0,27.971,-0.037,-0.567,-0.002,0.016,3.231,0.021,-5.819,0.001,6.387,0.001,1.432,-0.005,-1.432,0,14.995535,196.114995956421,21,4,6,0,7,0,0.8368,-0.0379,38.985115,7.051282,2.625774,3.117974,344,50,13,8.591716,12,12,7.638889,11,13,12,13,10,2,0,10.104446,6.125897,5.132811,2.562948,0.816497,0,6.580592,3.250145,1.726033,0.848734,0.060858,2.192006,0.575729,1.508434,0.592364,122.211433,974.008545,99.622704,110.039101,567.353394,1184.344849,38.587181,205.183116807192,151.298325633957,1.29621392130202,4322.44758044151,109.047334272959,3006.98298379457,3103.1782255814,3.41689638594726,97.3080957023254,54.0348375239654,17.2105230864345,45.0614116866432,0.672779922779923,0.743506493506494,0.722358722358722,14.7119993636078,5.45920156691313,4.24013978819433,3.46969677852836,0,0,0,0,192.695736301279,154.941449502456,392.131613161531,570.418825773313,Diethyleneglycol dinitrate,59.7227619280776,4.3640236852799,0,21.0380498588688,-16.6740261735889,55.3587382427977,25.8455284921176,29.5078169430784,5.39178129848978E-03,1.02630311960006E-06,0,0,0,0,0,0,0,0,0,21,7,2,4,8,-40.7923930599254
"2,2-Dinitro-1-propanol","2,2-Dinitro-1-propanol",,122,"2,2-Dinitro-1-propanol",70194,"2,2-Dinitro-1-propanol",2,-0.0771,-0.0651,-0.0829,0.4719373755,-0.3146343846,-0.3042648265,0.4275,-0.3063,-0.2956,"2,2-Dinitro-1-propanol",-2476.025193,-10498.991883,-31.927864,-12.196106,-1.571564,159.749834,5.603,-1.866,4.879,2.029,-9.662,-9.693,3.846,4.235,-1.179,5.817,-6.782,3.397,-10.402,-7.425,22.133,14.207,0.173,-11.274,-3.569,21.676,5.215,-1.677,4.627,1.724,11.363463,150.089997053146,16,3,2,1,5,0,0.9191,0.0006,29.2579,2.520171,4.091754,4.699644,112,44,10,3.408284,1.991111,9.080001,2.775518,1.537322,10,9,13,15,6,0,8.361807,4.447411,4.168773,3.399666,1.270116,0,5.18174,2.347291,1.889328,1.086182,0.561474,2.446439,0.70718,0.875489,0.736452,122.211433,490.096985,68.007706,75.058647,222.689545,636.696838,30.125696,160.475259025696,117.493666005153,1.27743053865188,689.80776841943,311.338332867786,389.908963591286,476.313132267074,2.10963261818136,138.246615538992,33.677090472741,30.5170849436126,31.3594502237283,0.647368421052632,0.662337662337662,0.640350877192982,7.43592403707719,6.99597274112412,6.58590538123021,1.1290663328188,0,0,0,0,141.326315128915,124.643233911724,293.366242973672,430.169411495169,"2,2-Dinitro-1-propanol",59.5444358126977,32.2887571463263,0,9.41986241052495,22.8688947358013,27.2556786663714,20.9486966420045,6.2561238378277,0.049907224642481,9.50961896690528E-04,0,0,0,0,0,0,0,0,0,16,5,2,3,6,-42.6410828546675
Diazodinitrophenol,Diazodinitrophenol,,97,Diazodinitrophenol,5463880,Diazodinitrophenol,2,-0.031,-0.0691,-0.1039,0.5473640805,-0.301071317,-0.3714123064,0.4959,-0.2914,-0.3627,Diazodinitrophenol,-3214.943031,-15055.982586,100.755488,-10.203298,-2.947899,188.346381,9.099,1.283,-9.008,-0.006,-43.315,4.941,23.989,0.016,0.001,19.326,-36.348,-1.16,0.073,27.222,0.001,9.126,-60.388,-0.016,61.548,-0.057,9.27,1.636,-9.125,0.002,17.251071,210.104995965958,17,6,1,0,7,0,3.364199,0.6574,48.899208,2.766828,3.301616,3.613049,346,72,13.066667,5.365079,2.982249,10.798615,3.84331,1.968025,15,15,21,26,6,0,11.585423,6.968432,6.410817,4.922821,1.328533,0,6.984796,3.459942,2.427366,1.549732,0.329202,3.056565,0.685416,0.850326,0.782352,226.477325,1700.359375,127.464638,147.206711,612.413818,1698.663452,32.367455,187.051365490557,148.953830781444,1.41053771402656,1992.01104378747,718.095102433349,904.79922376326,1622.89426245516,2.66644076718606,232.419240300062,58.1352643020765,26.992773632501,26.5994950426385,0.588235294117647,0.791938997821351,0.793333333333333,9.85996196758163,10.0233600939305,3.40049742322218,2.9476158474582,0,0,0,0,176.897957167548,153.498960732738,352.786025096044,522.005164949741,Diazodinitrophenol,28.0362981864545,13.7617248020778,0,23.4240610396601,-9.66233623758232,14.2745733843767,12.2892190654907,1.98532759751412,2.14066034120552E-05,5.31476843423917E-06,0,0,0,0,0,0,0,0,0,17,5,4,6,2,-60.9219211620932
